| Method                       | arrSize | Mean               | Error            | StdDev           | Median             |
|----------------------------- |-------- |-------------------:|-----------------:|-----------------:|-------------------:|
| InsertionSort_Random         | 10      |           163.0 ns |          2.63 ns |          2.33 ns |           162.9 ns |
| InsertionSort_Sorted         | 10      |           180.1 ns |          3.48 ns |          8.46 ns |           176.8 ns |
| InsertionSort_Reversed       | 10      |           166.2 ns |          0.81 ns |          0.71 ns |           166.1 ns |
| InsertionSort_Almost         | 10      |           196.2 ns |          2.52 ns |          2.23 ns |           196.5 ns |
| InsertionSort_FewUnique      | 10      |           160.2 ns |          1.44 ns |          1.28 ns |           159.9 ns |
| MergeSort_Random             | 10      |           295.3 ns |          4.66 ns |          4.36 ns |           293.6 ns |
| MergeSort_Sorted             | 10      |           310.2 ns |          3.69 ns |          3.45 ns |           310.2 ns |
| MergeSort_Reversed           | 10      |           296.5 ns |          5.67 ns |          5.83 ns |           295.8 ns |
| MergeSort_Almost             | 10      |           330.5 ns |          5.16 ns |          4.83 ns |           331.7 ns |
| MergeSort_FewUnique          | 10      |           284.4 ns |          4.04 ns |          3.38 ns |           285.9 ns |
| QuickClassicalSort_Random    | 10      |           197.1 ns |          1.20 ns |          1.13 ns |           197.1 ns |
| QuickClassicalSort_Sorted    | 10      |           229.5 ns |          1.99 ns |          1.86 ns |           229.2 ns |
| QuickClassicalSort_Reversed  | 10      |           204.5 ns |          1.39 ns |          1.23 ns |           204.5 ns |
| QuickClassicalSort_Almost    | 10      |           246.7 ns |          3.42 ns |          3.20 ns |           247.6 ns |
| QuickClassicalSort_FewUnique | 10      |           192.0 ns |          2.23 ns |          2.08 ns |           193.0 ns |
| QuickSort_Random             | 10      |           164.6 ns |          1.93 ns |          1.81 ns |           164.5 ns |
| QuickSort_Sorted             | 10      |           181.8 ns |          1.32 ns |          1.17 ns |           181.8 ns |
| QuickSort_Reversed           | 10      |           166.6 ns |          1.61 ns |          1.50 ns |           166.0 ns |
| QuickSort_Almost             | 10      |           202.9 ns |          3.36 ns |          4.24 ns |           201.6 ns |
| QuickSort_FewUnique          | 10      |           162.2 ns |          1.84 ns |          1.72 ns |           162.3 ns |
| InsertionSort_Random         | 1000    |       129,643.9 ns |        887.40 ns |        786.65 ns |       129,677.7 ns |
| InsertionSort_Sorted         | 1000    |        30,983.4 ns |        257.70 ns |        241.05 ns |        30,961.7 ns |
| InsertionSort_Reversed       | 1000    |       131,169.4 ns |      2,151.33 ns |      2,012.36 ns |       130,856.2 ns |
| InsertionSort_Almost         | 1000    |        50,550.2 ns |        559.92 ns |        523.75 ns |        50,462.0 ns |
